,0
0,Alaska
1,Arizona
2,Arkansas
3,California
4,Colorado
5,Connecticut
6,Delaware
7,Florida
8,Hawaii
9,Indiana
10,Kansas
11,Kentucky
12,Louisiana
13,Maine
14,Maryland
15,Michigan
16,Minnesota
17,Nebraska
18,Nevada
19,New Hampshire
20,New Jersey
21,New Mexico
22,New York
23,North Carolina
24,North Dakota
25,Ohio
26,Oklahoma
27,Oregon
28,Pennsylvania
29,Rhode Island
30,South Carolina
31,South Dakota
32,Tennessee
33,Texas
34,Utah
35,Vermont
36,Virginia
37,Washington
38,West Virginia
39,Wisconsin
40,Wyoming
